,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Plays
375,Michael Franklin,San Diego State,MWC,11,26,683,5.1,2,107,133
376,Brandon Horn,Northwestern,Big Ten,11,24,222,8.2,2,3,27
377,Jason Davis,Illinois,Big Ten,11,41,570,6.3,3,49,90
379,Aaron Sanchez,Florida Atlantic,Sun Belt,12,24,373,6.0,5,38,62
380,Darcy Johnson,UCF,MAC,11,30,244,8.1,0,,30
381,Michael Brewster,Hawaii,WAC,13,34,995,6.8,7,113,147
382,Bryan Williamson,Ball State,MAC,10,21,168,8.0,2,,21
383,John Randle,Kansas,Big 12,10,35,814,4.5,9,147,182
384,Jason Teague,Michigan State,Big Ten,12,28,907,5.1,10,150,178
385,Raymond Kirkley,Pitt,Big East,10,23,739,4.2,6,154,177
386,Ciatrick Fason,Florida,SEC,12,35,1533,6.0,12,222,257
387,Chris Johnson,East Carolina,CUSA,11,32,797,4.8,7,134,166
388,Dontrell Moore,New Mexico,MWC,11,27,1289,5.0,6,232,259
389,Johnnie Mack,Texas Tech,Big 12,12,26,514,6.2,8,57,83
390,Darren Sproles,Kansas State,Big 12,11,32,1541,5.6,11,244,276
391,Damien Nash,Missouri,Big 12,10,25,968,5.1,8,164,189
392,Mason Denham,Louisiana-Monroe,Sun Belt,11,27,714,4.7,2,125,152
393,Cornell Brockington,Connecticut,Big East,12,34,1449,5.3,12,238,272
394,Lorenzo Booker,Florida State,ACC,12,24,1047,5.3,4,173,197
395,Curtis Brown,Brigham Young,MWC,11,27,964,5.2,6,158,185
396,Richard Hall,Cincinnati,CUSA,12,25,1164,5.0,7,210,235
397,Travis Cones,Louisiana,Sun Belt,11,24,286,6.5,1,20,44
398,Tim Brown,Temple,Big East,10,33,631,4.5,3,108,141
400,Chris Barclay,Wake Forest,ACC,11,21,1128,4.3,9,243,264
401,Taurean Henderson,Texas Tech,Big 12,12,60,1126,5.1,18,162,222
402,David Alston,Kent State,MAC,11,28,727,3.5,11,178,206
