,Player,School,Conf,G,Att,Yds,Avg,TD,Rec,Plays
128,Atiyyah Henderson,San Diego State,MWC,12,174,842,4.4,1,18,192
129,Jorvorskie Lane,Texas A&M,Big 12,13,166,807,4.7,19,7,173
130,Greg Moore,Cincinnati,Big East,13,162,795,4.6,4,12,174
131,Toney Baker,North Carolina State,ACC,12,157,865,4.9,6,21,178
132,Bernard Jackson,Colorado,Big 12,12,155,677,4.4,7,,155
133,Wesley McMahand,Army,Ind,12,150,653,4.3,4,3,153
134,Brian Flowers,Idaho,WAC,12,128,722,4.9,4,18,146
135,Jeremiah Williams,New Mexico State,WAC,11,96,691,5.2,6,37,133
136,Erroll Hogan,Louisiana-Monroe,Sun Belt,12,77,448,4.8,3,17,94
137,Mark Bonds,Western Michigan,MAC,12,252,1246,4.5,7,26,278
138,BenJarvus Green-Ellis,Ole Miss,SEC,12,234,1043,4.3,7,8,242
139,Eugene Jarvis,Kent State,MAC,11,185,924,4.6,3,16,201
140,Brandon Fractious,East Carolina,CUSA,13,155,732,4.5,4,9,164
141,Brian Hampton,Navy,Ind,7,150,646,4.3,10,,150
142,Andre Callender,Boston College,ACC,13,146,871,5.1,3,24,170
143,Lorenzo Booker,Florida State,ACC,13,143,1036,5.9,4,33,176
144,Selvin Young,Texas,Big 12,12,137,723,4.5,8,23,160
145,Jason Peters,UCF,CUSA,12,109,544,4.6,2,8,117
146,Andy Schmitt,Eastern Michigan,MAC,9,107,461,4.3,4,,107
148,Chris Jennings,Arizona,Pac-10,12,105,481,4.3,3,7,112
149,Ryan Williams,Air Force,MWC,12,102,444,4.3,4,1,103
150,Jason Snelling,Virginia,ACC,11,183,1054,5.0,7,29,212
151,Demarco McNair,Middle Tennessee State,Sun Belt,13,139,725,4.7,7,16,155
152,Bobby Reid,Oklahoma State,Big 12,13,119,500,4.2,5,,119
153,Butler Benton,Cincinnati,Big East,13,118,606,4.8,4,7,125
154,Anthony Allen,Louisville,Big East,13,96,454,4.5,14,4,100
